 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|        52|        г.Кобрин Маслосырзавод|                                   г.Кобрин,ул.Советская,124|                                   000404202 в АПБ г.Кобрина|
|        53|г.Кобрин Рай. отдел статистики|                                       г. Кобрин пл. Свободы|                           5609301 в Комвестбанке г. Кобрина|
|        54|г.Кобрин27-яПРОФ.ПОЖАРНАЯ Ч-ТЬ|                               г.Кобрин,ул.Интернациональная|                                                            |
|        55|г.Кобрин Упр. механизации 281.|                                  г.Кобрин,ул.Советская,137.|                          586005 в Промстройбанке г.Кобрина.|
|        56|г.КобрСтрой.монтажный трест 33|                                 г.Кобрин, ул. Советская,137|                             301 200 101 0017 ПСБ г.Кобрина.|
|        57|   г.Кобрин,к-т "Агропромдрев"|                               г.Кобрин, пер.Островлянский-8|                    301 220 162 0012 в АПБ г.Кобрин, код 406|
|        58|г.Кобрин Гос.налоговая инспекц|                                     г. Кобрин. ул.Жукова  2|                                                            |
|        59|            Кобрин электросети|                                  г.Кобрин,ул.Советская,110.|                                   000201403 в ПСБ г.Бреста.|
|        60|               г.Кобрин Лесхоз|                                      г.Кобрин,ул.Советская,|                                                            |
|        61|        г.Кобрин Строй.упр.279|                                г. Кобрин. ул. Советская 137|                301 200 064 0013 в Промстройбанке г. Кобрина|
|        62|           г.Кобрин МП"РОДНИК"|                              225860 г.Кобрин,ул.Ленина, 116|                                      700414 в АПБ г.Кобрина|
|        63|              г.Кобрин МП"Луч"|                                                    г.Кобрин|                             3522001250196 в АО БКБ г.Кобрин|
|        64|          г.Кобрин ГПП "ХИМИК"|                               225860, г.Кобрин, ул.Калинина|               301 223 010 0017 в РКЦ  Приорбанка г.Кобрина.|
|        65|          г.Кобрин ООО "Омега"|                               225860,г.Кобрин,пл.Свободы,11|            3012200890011 в ф-ле 0504 АКБ Приорбанк г.Брест.|
|        66|         г.Кобрин ГПТП"ЛЕПЕСЫ"|                                      г.Кобрин,ул.Калинина,2|               301 223 011 0010 в АКБ "Приорбанка" г.Кобрина|
|        67|          г.Кобрин МП "Тамара"|                                     г.Кобрин, ул.Пушкина,15|                                    441201 в БКБ г.Кобрина  |
|        68|       г.Кобрин СП "ТОРИАПОЛЬ"|                             г.Кобрин,пл.700-летия Кобрина,9|                                     5467006 в КВБ г.Кобрина|
|        69|          г.Кобрин АО "ЛаКиМм"|                               г.Кобрин, ул.Пролетарская,145|                                      467632 в ПСБ г.Кобрина|
|        70|     Кобрин спецшкола интернат|                                   г.Кобрин ул.Советская, 86|                                                            |
|        71|г.КобринТорг.поср.ф-ма"Надзея"|                                     г.Кобрин, ул.Ленина,11:|                                     441551 в АПБ г.Кобрина.|
|        72|      г.Кобрин МПТФ "БЕЛАРУСЬ"|                                г.Кобрин,ул.Первомайская,137|                          3012000370371 в отд БВЭБ г.Кобрина|
|        73|            Кобрин к-з Октябрь|                                    Кобринский з-н д.Октябрь|                               3012200940054 в АПБ г.Кобрина|
|        75|  г.Кобрин Ч/П Шерстобитов ВВ.|                                           Привокзальная 108|              3013231870013 в РКЦ Кобрин Приорбанка г.Бреста|
|        76| Кобрин ООО ПКФ "Сантехсервис"|                                      г.Кобрин,ул.Суворова 7|                                       301 200 166 0007 в АО|
|        77|           Кобрин к-з"РАССВЕТ"|                                  Кобринский р-н,д.Киселевцы|                                 1505014096 в АПБ г.Кобрина.|
|        78|            Кобрин К-з"ПОБЕДА"|                                д.Буховичи, Кобринского р-на|                                  000400918 в Кобринском АПБ|
|        79|        Кобрин к-з им.Гагарина|                                      Кобринский р-н,д.Тевли|                                      000400316 в Кобрин АПБ|
|        80|           Кобрин к-з"Патрики"|                                  Кобринский р-н,д.Андроново|                             301 220 091 0055 в АПБ г.Кобрин|
|        81|       Кобрин к-з Дзержинского|                          Кобринский р-н,к-з им.Дзержинского|                                      400824 в АПБ г.Кобрина|
|        82|      Кобрин к-з Днепробугский|                               Кобринский р-н.пос.Ореховский|                                      406909 в АПБ г.Кобрина|
|        83|          Кобрин К-з им.Ленина|                                     д.Плянта Кобринский р-н|                                  000400510 в АПБ г.Кобрина |
|        84|       Кобрин к-з им.Кутузова.|                                  Кобринский р-н,д.Хабовичи.|                                  000400109 в АПБ г.Кобрина.|
|        85|   Кобрин к-з"Заветы Ильича". |                                     Кобринский р-н,д.Батче.|                                  000400701 в АПБ г.Кобрина.|
|        86|   г.Кобрин ОАО Сельхозтехника|                        225860 г.Кобрин, ул-Дзержинского,78.|                             301 220 171 0010 в АКБ г.Кобрин|
|        87|         г.Кобрин Дет. сад 18.|                                     г.Кобрин, ул.Жукова,60.|                            204303 в Комвестбанке г.Кобрина.|
|        88|           г.Кобрин Гороо СШ 7|                                г.Кобрин ,ул.Дзержинского 56|                                   014130313 в АПБ г.Кобрина|
|        89|                Кобрин Д/С 15 |                               225860,г.Кобрин, ул.Советская|                            569707 в Агропромбанке г.Кобрина|
|        90|                с.Дивин ПМК-57|                            225876,с.Дивин,ул.Октябрьская,71|                              000386207 в Кобринском отд.АПБ|
|        91|      Малорита отдел культуры.|                   Брестская обл.г Малорита,ул.Советская,36.|                        303300000355 в Сбербанке г.Малорита.|
|        92|        ПТФ ВЫЕЗДНАЯ ТОРГОВЛЯ |                                 г. Кобрин ул. Советская 139|                                   ЛИНЬКО  Тамара Михайловна|
|        93|Жабинковский р-он,к-з"ЧАПАЕВА"|                                           Жабинковский р-он|                                      301 220 029 0013 в АПБ|
|        94|          г.Кобрин ООО" Колос"|                                225860 г.Кобринул.Ленина,11.|                          3012000200207 в Бел.ВЭБ г.Кобрина.|
|        95|       д.Пески ДРСУ-46        |                                   Кобринский р-он, Пески -2|        301 200 068 0015 в Промстройбанке г. Кобрина код 367|
|        96|                  Кобрин УПТК.|                            225860г.Кобрин,ул.Советская,137.|                           3012000990011 в ГКЦ ПСБ г.Кобрин.|
|        97|            г.Кобрин Общежитие|                                    г.Кобрин,ул.Дзержинского|                                                            |
|        98|      г.Кобрин Центр занятости|                                     г.Кобрин ул.Суворова 25|                                            3320202690023 в |
|        99|     д.Стригово ЗАО "Экология"|                                 д.Стригово Кобринского р-на|                               3012208440012 в БББ г.Кобрина|
|       100|  Кобрин УПТК "Брестоблводхоз"|                                            Островляны, УПТК|                    3012200750013 в Агропромбанке г.Кобрина.|
|       101|              Кобрин ч/п ДАЦУК|                                  г.Кобрин, пер Юбилейный 11|                         301 300 230 0540 в АСБ Беларусбанк |
|       102|            Кобрин хлебозавод.|                           225860 г.Кобрин, ул.Советская,134|                               3012200590026 в АКБ г.Кобрин.|
|       103|           Дивин хлебопекарня.|                                     Кобринский р-н,д.Дивин.|                               3012201180015 в АПБ г.Кобрин.|
|       104|      Кобрин АО  "Кобрин-Лада"|                                 г. Кобрин, ул.Пролетарская |                        301 200 002 0025  в БВЭБ  г. Кобрина|
|       105|         Кобри Консервный з-д |                                      г.Кобрин ул. Ленина 62|                          301 220 103 0022  в АПБ г. Кобрина|
|       106|             г.Кобрин,ДСПМК-31|                               г.Кобрин,ул.Первомайская,137.|                                301220063016 в АПБ г.Кобрин.|
|       107|       г.Кобрин Ч/П Чирун В.И.|                                    г.Кобрин,ул.Николаева,20|                           301 300 108 0017 в ПСБ г.Кобрина |
|       108|                  г.Кобрин ДСТ|                                            г. Кобрин п/я 56|               301 200 018 0183 в Внешэкономбанке г. Кобрина|
|       109|                   Кобрин РУПС|                            г.Кобрин ул.Интернациональная 30|                       3012000920010 в ПСБ г.Кобрина код 367|
|       110|          Кобрин м-н-Дегтярик.|                           225860 г.Кобрин,ул.Советская-139.|                                                            |
|       111|                  г.Кобрин РПО|                              225860,г.Кобрин,ул.Матросова,7|                        301 200 021 0040 в АК ПСБ г.Кобрина |
|       112|                 г.Кобрин РОПП|                           225860,г.Кобрин,пер.Дорожный,70/1|                            301 220 174 0019 в АПБ г.Кобрина|
|       113|               д.Пески ДРСУ-46|                              Кобринский р-н д.Пески ДРСУ-46|                               3012000680015 в ПСБ г.Кобрина|
|       113|            Кобрин Горисполком|                                        г;Кобрин ул.Ленина 3|                                                            |
|       114|          Пружаны к-з"Рассвет"|                                   Пружанский р-н,д.Колядичи|                        301 220 072 0052 в Бел.АПБ г.Пружаны|
|       115|               д.Пески ДРСУ-46|                              Кобринский р-н д.Пески ДРСУ-46|                               3012000680015 в ПСБ г.Кобрина|
