 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       223|г.ПинсФ-ка пош. и рем. одежды |                                    г.Пинск ул.Брестская,42а|                                    000506602 в КВБ г.Пинска|
|       224|        г.Пинск з-д "Камертон"|                                    г.Пинск ул.Брестская,137|                301 200 008 0016 в  Промстройбанке г. Пинска|
|       225|                  РАПС Пружаны|                                   Пружанский р-н д.Оранчицы|                   301 220 147 0024 в отд.Бел.АПБ г.Пружаны |
|       226|     г.Барановичи Обувная ф-ка|                                  г.Барановичи, ул.Царюка, 5|                        3012200090012 в ф-ле 505"Приорбанк".|
|       227|Торфобрикетный з-д Гатге-Осовс|                                    Жабинковский р-н с.Гатче|                               3012200100010 в БББ г.Жабинки|
|       228|      Ивацевичи приб.строй.з-д|                                 г.Ивацевичи,ул.Заводская,33|                        3012000020010  в АК ПСБ г.Ивацевичи |
|       229|                 г.Береза РКБО|                                       г.Береза,ул.Ленина,85|                             301 220 105 0019 в ПБ г.Березы.|
|       230|           г.Барановичи ПХБО  |                        225320, г.Барановичи, ул.Фабричная,6|                  000321603 в Барановичском отд. Жилсоцбанка|
|       231|        г.Береза СП "Блантас" |                                 225210,Береза,ул.Ленина,100|                                       609436 в АПБ г.Береза|
|       232|      г.Дрогичин ПТП "Ветразь"|                       225830, г.Дрогичин, ул.Октябрьская,37|                            366504 в СБ г.Дрогичина КОД 620 |
|       233|г.БарановичОпытно-эксп.об.ф-ка|                           225320, г.Барановичи, ул.Царука,5|                  000322602 в отд.КБ "ВЕСТБАНК" г.Барановичи|
|       234|г.ПружанФ-ка пош.и рем.шв.изд.|                                 г.Пружаны, ул.Кобринская 1 |                               3012201370010 в АПБ г.Пружаны|
|       235|                 г.Пружаны КСМ|                                 г.Пружаны, ул.Кобринская,46|                               3012201520017 в АПБ г.Пружаны|
|       236|    ППО "БЕРЕЗАСТРОЙМАТЕРИАЛЫ"|                       225210, г.Береза, ул.Комсомольская,25|                               384706  в Березовском отд.АПБ|
|       237|                Ракитница ЦДСК|                                                 д.Петровичи|                       3732201490020 в отд.Бел.АПБ г.Жабинка|
|       238|        г.Ивацевичи МП "СТИЛЬ"|                           225250, г.Ивацевичи, ул.Ленина,50|                                    609907 в АПБ г.Ивацевичи|
|       239|           г.Малорита  ККП РПС|                                    г.Малорита  ул.Маруды 54|                              3012200370013 в АПБ г.Малориты|
|       240| Пружаны ОРТП"Торговый центр".|                            225140г Пружаны,ул.Советская-13.|                           301 220 098 0010 в АПБ г.Пружаны.|
|       241| г.Барановичи Трикотажная ф-ка|                            г. Барановичи, ул. Брестская 226|        30 1220 007 0019 вф-ле 0505 Приорбанка г. Барановичи|
|       242|      г.Пружаны ТПО "ВЕСНЯНКА"|                                 г.Пружаны, ул.Костякова, 66|                                      467412 в АПБ г.Пружаны|
|       243|       г.Береза КООП "НАДЕЖДА"|                             г.Береза,ул.Комсомольская,2а/11|                                       461629 в АПБ г.Береза|
|       244|г.Береза Мотороремонтный завод|                                г.Береза,ул.Комсомольская,16|                              301 220 404 0013 в АПБ код 402|
|       245|             г.Пинск ПКФ "ЯНА"|                                     г.Пинск,ул.Канареева,10|                 301 220 204 0012 в БелАгропромбанке г.Пинск|
|       246|                  г.Береза РПС|                                      г.Береза ул.Ленина 124|                                       460701 в АПБ г.Береза|
|       247|                г.Пружаны РКБО|                                 г.Пружаны, ул.Макаренко,21 |                                    00050020 в АПБ г.Пружаны|
|       248|              г.Брест"ЭСКУЛАП"|                                 г.Брест, Бульвар Шевченко,4|                         301 220 425 0010 в АКСБ "Приорбанк"|
|       249|       г.Береза ПТП" Прополис"|                                 г.Береза, ул.Ольшевского,7.|                              3012200800013 в АПБ  г.Береза.|
|       251|               г.Пружаны АП-11|                                         г.Пружаны ул.Лазо 5|                                  000425302 в БАПБ г.Пружаны|
|       252|           г.Ивацевичи УЖ 15/5|                                                 г.Ивацевичи|                    3031000003463 в отд.6432 ПСБ Беларусбанк|
|       253|  г.п.Антополь Ватно-пряд.ф-ка|              Дрогичинский р-н г.п.Антополь,ул.Советская,153|                             3012200610148 в АПБ г.Дрогичина|
|       254|           г.Дрогичин РГПО ЖКХ|                               г.Дрогичин ул. Освобождения 5|                 310 000 000 94 в филиале АСБ"Беларусьбанка"|
|       256|           Пинск "ПИНСКДРЕВ"  |                    г. Пинск ул. Иркутско-Пинской дивизии 52|                            301 200 014 0015 в ПСБ г. Пинска|
|       257|г.БарановичиК-нат надомн.труда|                       225320,г.Барановичи,ул.Проминского,20|                3012200330010 в ф-ле Приорбанка г.Барановичи|
|       258|     г.Пинск З-д путевых машин|                                      г.Пинск ул.Гайденко 37|                             3212000180017 в АК ПСБ г.Пинска|
|       259|            г.Брест "Юримекс" |                                     г.Брест ул.Москвская 17|                                      2609812 в КВБ г.Бреста|
|       260|                г.Каменец РКБО|            225050, Брестская обл.г.Каменец,ул.Пограничная,9|                              3012200580019 в АПБ г.Каменца |
|       261|  г.Брест СУ-116 стройтреста 8|                               г. Брест, ул. Героев Обороны |           301 200 078 0016 в Московском отд. Промстройбанка|
|       262|  г.п.Ружаны Мебельная фабрика|                                 г.п.Ружаны,ул.Советская,9-а|                   301 220 083 0015 в Приорбанке г.Ивацевичи|
|       263|           г.Брест фирма"ЭЛМА"|                                    г.Брест,ул.Куйбышева,13.|                3012000011001 в Белвнешэкономбанке г.Бреста.|
|       264|         г.Пинск ф-ка худ.изд.|                                      г.Пинск ул.Федотова 11|                             3012200130012 в АКБ "Приозбанк"|
|       265|   г.Брест ч/п Шисловский О.В.|                      224600 г.Брест,ул.Интернациональная,2.|                                    Частный предпринематель.|
|       266|      г.Барановичи,УПП глухих.|                       225320 г.Барановичи,ул.Пионерская,53.|                     3012204500019 в ф-ле 0505 "Приорбанка".|
|       267|г.Брест трик. ф-ка "Индзаказа"|                             224600 г.Брест,ул.Советская,49.|                     3012207090017 в АО ГП Приорбанк г.Брест|
|       268|            Пинск ПТО"ПОЛЕСЬЕ"|                          225710г.Пинск,ул.Первомайская,159.|                   3012100980018 в Внешэкономбанке г.Пинска.|
|       269|                 г.Иваново КБО|                                    г.Иваново ул.К.Маркса 43|                               3012201070017 в АПБ г.Иваново|
|       270|                  г.Брест БЭМЗ|                                   г.Брест ул.Московская 202|             3012000000581 в Облуправлении АСБ "Беларусбанк"|
|       271|         Пружаны МП"Людмила". |                           225140 г.Пружаны,ул.Советская,47.|               3012001099997 в Пружанском ф-ле Бресткомбанк.|
|       272| Городище Леч.-произв. м-ские.|                                225710 Пинский р-н,Городище.|            3012200230013 в Полесском спец.отд.АПБ г.Пинска.|
|       273|    г.Пинск ч/п Кривошеев В.В.|                        225710,г.Пинск,ул.Канареева 12к.131 |                                                            |
|       274|      г.Лунинец Рем.-мех. з-д.|                            225650 г Лунинец,ул.Красная,160.|                           3012000470021 в К ПСБ  г.Лунинец |
|       275|         г.Пинск "Динамо" ПТТП|                          г.Пинск ул.Днепровской флотилии 11|                       3022000050012 в АКБ Приорбанк г.Пинск|
|       276|         г.Пружаны Радиодетали|                             г.Пружаны ул.Красноармейская 81|                     3012200400011 в АПБ Приорбанк г.Пружаны|
|       277|                г.Брест "Мара"|                                      г.Брест ул.В.Хоружей15|                     3012202630010 в АКБ Приорбанка г.Бреста|
|       278|                Брест хлебпром|                                     г.Брест ул.Смирнова 100|                                3012200290015 в АПБ г.Бреста|
|       279|            г.Пинск МП"ВОСХОД"|                               225710,г.Пинск,ул.Кунькова,50|                      3012201810012 в Агропромбанке г.Пинска|
|       280|          г.Брест Евроконтракт|                               г.Брест ул.Генерала Попова 18|                             3012002690016 в УАК ПСБ г.Брест|
|       281|      г.Брест Консервный завод|                            224600, г.Брест,ул.Куйбышева,33 |                              3012200700013 в АК "Приорбанк"|
|       282|          г.Брест ООО" КВАДРА"|                                   г. Брест ,ул . Шевченко 6|             301 200 326 0012 в УАК Промстройбанка г. Бреста|
|       283|  г.Белоозерск СП "Белкельме "|                                г. Белоозерск ул.Шоссейная 5|             301 220 183 0015  в АКБ Приорбанка г.Белоозерск|
|       284|    Брестский р-н с-з"Муховец"|                  Брестский р-н,пос.Муховец,совхоз"Муховец".|                                   3012200860012 в АКБел АПБ|
|       285|                г.Лунинец РАПТ|                                    г.Лунинец ул.Давыдова 19|                            3012201200058 в АК АПБ г.Лунинец|
|       286|г.Малорита Спец.п-тие "РАДУГА"|                                   г. Малорита, ул. Ленина 1|                          301 220 016 0014 в АПБ г. Малориты|
|       287|        г.Брест Маш.строит.з-д|                                      г.Брест ул.Суворова 21|              3012000220013 в Московском отд.АК ПСБ г.Бреста|
|       288|         г.Пинск ПТФ " ЗАРЯ"  |                               г.Пинск ул. Индустриальная  5|                        000 366 602 в Пинском АКБ  Приорбанк|
|       289|         Иваново к-з "Октябрь"|                                    Ивановский р-н,д.Одрижин|                               3012200410014 в АПБ г.Иваново|
|       290|       г.Барановичи ПКП "Вега"|                              г.Барановичи ул.Фроленкова 110|          3012201190015 в ф-ле 0505 "Приорбанк" г.Барановичи|
|       291|              Пинский р-н РКБО|                                       Пинский р-н д.Заполье|                       3012202430013 в Полесское отд.Бел АПБ|
|       293|г.ПружаныПродоконсервный к-нат|                                        г.Пружаны ул.Лазо 22|                 3012200930015 в АПБ г.Пружаны УНН 200026125|
|       294|г.Давид-Городок Электр.мех.з-д|                           г.Давид- Городок  ул. Калинина 65|                   301 220 051 2804 в Столинском отд. АК АПБ|
|       295|         г.Пинск ч/п Прокопчик|                                     Г.Пинск,ул.Шубитидзе 19|                                       3013000000543 в АСБББ|
|       296|Ивановский р-н Мотоль Потр.общ|               д.Мотоль ул.Ленина,7 Потребительское общество|                               3012200870016 в АПБ г.Иваново|
|       297|       Барановичи ч/пЗеленский|                       225320г.Барановичи,ул.Фролейкова-110.|                    3013206640019 в Приорбанке г.Барановичи.|
|       298|        Барановичи,ГТП"МЕЧТА".|                                гБарановичи,ул.Курчатова-11.|          3012211470015 в ф-ле 0505 Приорбанка г.Барановичи.|
|       299|    г.Барановичи АО МОПП "АРС"|                               г. Барановичи ул. 50лет ВЛКСМ|                      301 200 097 0012 в ПСБ  г. Барановичи |
|       300|    Скидель к-т Стройматериалы|                                      г.Скидель ул.Луговая 3|                    3012200020012 в ел АПБ г.Скиделя код.456|
|       301|   г.Слоним ф-ка "Текстильщик"|           231800 г.Слоним Гродненской обл. ул.Багратиона,3 |                3012201040010 АК АПБ г.Слонима МФО 152101453|
|       302|       г.Лида Обувная фабрика |           231300, г.Лида, Гродненской обл., ул.Фабричная, 6|                     р/с 3012200030011 Белбизнесбанка г.Лиды|
|       303|        Слоним ф-ка /Пух-перо/|                                г.Слоним ул.Минский тракт 10|                      3012201080012 в Слонимском АПБ код.453|
|       304|                   г.Мосты КБО|                               231600, г.Мосты, ул.Жукова,13|                                3012201450015 в АПБ г.Мосты.|
|       305|    г.Слоним ф-ка худ. изделий|                             231800 г.Слоним ул.Брестская 40|                                  000366302 в Слонимском АПБ|
|       306|                Гродно Торгмаш|                                   г Гродно ул.Тимирязева 16|                            3012000510016 в АКБ ПСБ г.Гродно|
|       307|             Гродно ОАО"Неман"|                            г.Гродно,ул.Сов.Пограничников,95|              301 220 018 0016в Октябрьском отд.БББ г.Гродно|
|       308|              г.Волковыск АКБО|                            231900, г,Волковыск, ул.Победы,4|                            3012202150017 в АПБ г.Волковыска|
|       309|     г.Новогрудок Швейная ф-ка|                         231400,г.Новогрудок,ул.Советская,39|                    301 200 002 0032 в АКБ ПСБ г.Новогрудка |
|       310|г.НовогрудокВаляль.-войл. ф-ка|                     231400, г.Новогрудок, ул.Гродненская,79|                                366703 в АК АПБ г.Новогрудка|
|       311|   г.Гродно Пряд.-ниточный к-т|                                    г.Гродно, ул.Горького,91|                322302 в упр.Белбизнесбанка Гродненской обл.|
|       312|г.Волковысф-ка пош.и рем.обуви|                             г. Волковысск, ул. Советсквя,31|                               000500209 в АПБ г.Волковысска|
|       313|                г.Гродно УЖ-15|                                           г.Гродно,Кирова,1|                                       341301 в РКБ г.Гродно|
|       314|                 г.Гродно РКБО|                                     г.Гродно, ул.Озёрская,5|                    00500902 в Октябрском отд.Белбизнесбанка|
|       315|      г.Гродно Кооп. "ВЕТЕРАН"|                                      г.Гродно,ул.Комарова,4|                              100461532 в Упр.Белбизнесбанка|
|       316|          г.Гродно МП "МИЛЕНА"|                                     г.Гродно,ул.Горького,63|                                    2468557 в АКПСБ г.Гродно|
|       317|       г.Гродно НПО "ТЕХНОХИМ"|                                   г.Гродно,ул.Комунальная,3|                 467518 в Обл.упр.ПСБ г.Гродно МФО 152101335|
|       318|  г.Гродно Арендн.п-ие"Силуэт"|                                    г.Гродно ,ул. Замковая 4|                    3012203260012 в Белбизнесбанке г.Гродно.|
|       319|г.Гродно Перчат. ф-ка "АКЦЕНТ"|                              230023,г.Гродно,ул.Мостовая,31|                      301 220 458 0010 в Приорбанке г.Гродно|
|       320|          г.ГродноПКФ "Корунд"|                                     г.Гродно пр.Я.Купалы 63|                     3012600100010 в Белжелдорбанке г.Гродно|
|       321|        г.Слоним ч/п Гиль Р.Л.|                           г.Слоним ул.Красноармейская,164-а|                     3013205520014 в Агропромбанке г.Слонима|
|       322|        г.Слоним ООО "ПАРТНЁР"|               231800,г.Слоним,Коссовский тракт д.86 кв. 100|                    3012010910033 в ф-ле 414 АСБ Беларусбанк|
|       323|        г.Дятлово Арендный КБО|                Гродненская обл.г.Дятлово,ул.Первомайская,5.|                 3012201320010 в Белагропромбанке г.Дятлова.|
|       324|        г.Лида АО "ЛАКОКРАСКА"|                                                     г. Лида|                301 100 063 0012 в ПСБ г. Лиды МФО 152101337|
|       325|      г.Волковыск СП "АКАРЫНА"|                                  г. Волковыск ул. Ленина 37|                       301 220 089 0018  в АПБ г. Волковыска|
|       326|    г.Гродно Тонкосукон. об-ие|                           230696, г.Гродно,ул.Горького,121 |                              301 220 0050010 в БББ г.Гродно|
|       327|               г.Гродно АО КСМ|                                     г.Гродно,ул.Горького,10|             301 200 216 0015 в УАК Белпромбудбанке г.Гродно|
|       328|    Гродно,к-т стройматериалов|                              Гродненская обл.,г.п. Островец|            301 220 033 0019 в Белагропромбанке г.п.Островец|
|       329|Скидель з-д железобетонных изд|                               г.Скидель, ул. Промышленная 6|                          301 220 006 0014 в Бел АПБ Скиделя|
|       330|            г.Гродно ООО"Вече"|                                  г.Гродно ул.Антонова 25-40|                             3012000000659 в АСБ Беларусбанк|
|       331|г.Слоним" Слонимский льнозавод|                                     г. Слоним ул. ГОГОЛЯ 14|                           301 220 151 0016 в Слонимском АПБ|
|       332|   г.Новогрудок ПКФ "ВИКТОРИЯ"|                             г.Новогрудок,ул.Первомайская 68|                          301 220 081 0011 АО "Приорбанк"771|
|       333|        г.Гродно ГП " ЭКО-БЕЛ"|                                   г. Гродно ул Горького 100|                        301 200 231 0012 в АК БПСБ г. Гродно|
|       334|        г.Мосты АО "Мостодрев"|                   Гродненская обл.,г.Мосты, ул.Советская,38|                      301 220 044 0013 в АК отд. АПБ г.Мосты|
|       335|    г.Сморгонь ОАО Сморгоньлен|                                  г.Сморгонь ул.Молодежная 7|                              3012200600011 в АКБ г.Сморгонь|
|       336|         г.Гродно НПП "РЕСУРС"|                               г.Гродно ул. К.Маркса 31 кв27|                      301 200 177 0015 в БПСБ  г. Гродно 335|
|       337|Волков ОАО"КРАСНОСЕЛЬСКЦЕМЕНТ"|                                                г.Волковыск |                              3012000640022 в ПСБ г.Волковск|
|       338|                г.Свислочь,КБО|                                 г.Свислочь,ул.Калиновская,5|                 301 220 161 0015 в БАПБ  г.Свислочь код 484|
|       340|       Островец Стройматериалы|                              г п Островец ул Октябрьская 13|                        3012200330019 в Островецком отд БАПБ|
|       341|    г.Гродно ч/п Зарецкий В.А.|                      г.Гродно ул.Ленина 3,ч/п Зарецкий В.А.|                     3013123103278 в АХ"Белкомбанк" г.Гродно|
|       342| Волковыск Гос.плем.з-д"Россь"|        г.Волковыск Государственный племенной завод "Россь".|                       3012200680039 в Бел АПБ г.Волковыска.|
|       343|    Волковыск Строй-монт.трест|                                  г.Волковыск ул.Панковой 69|                3012000320023 в Белпромстройбанк г.Волковыск|
|       344|         Лида тр.ф-ка "Радуга"|                                         г.Лида ул.Ленинская|         3012200540025 в АО Белоруский банк развития код.297|
|       345|       Сморгонь ДПТП "Дубрава"|                                  г.Сморгонь ул.Молодежная 7|                          3012204050016 в Бел АПБ г.Сморгонь|
|       346|      Гродно ОАП треста"БСМ-2"|                                      г.Гродно ул.Карского 6|                          3012200230012 в Октябрском отд.БББ|
|       347|               Слоним "Глобус"|                                 г.Слоним ул.Черняховского 3|                       3012006680016 в Беларусбанк г.Слонима|
|       348|             Гродно ПО "Чайка"|                                       г.Гродно ул.Зернова 6|          3012600150014 в ф-ле Западный АКБ Инфобанк код 100|
|       349|      Гродно ОРП"Текстильторг"|                                 г.Гродно ул.Соколовского,20|           3012200770019 Октябрьское отд. Белбизнесбанк, 709|
|       350|                       ДП Швея|                                          г.Лида ул.Булаша-1|                                         3012003940014 АКПСБ|
|       351|                   ПКП Харовск|                                г.Гродно ул.Дзержинского 3/3|                              3012201310010 Упр.БББ г.Гродно|
|       400|   г.Борисов З-д медпрепаратов|                           222120 г.Борисов ул.Чапаева 64/27|              3012000280020 в АК Белпромстройбанк г.Борисова|
|       401|     Минск камвольный комбинат|                                  г.Минск,ул.Маяковского,176|                       321170 в Ленинском отд.Белбизнесбанка|
|       402|   г.Дзержинск Швейная фабрика|                                  г.Дзержинск,ул.Фурманова,2|            301 220 162 0018 в отд. АК Бел. АПБ г.Дзержинска|
|       403|г.МинсОАО"Белэнергоремналадка"|                              220012,г.Минск,ул.Ф.Скорины,18|        301 220 006 0056 в ф-ле "Энерго" АКБ "Поиск" г.Минск|
|       404|          АО "Борисовский ДОК"|                           222120 г.Борисов, ул.Заводская 45|                       3012207300011в БББ г.Борисова код 747|
|       405|         г.Минск ПКФ "ЛЮДМИЛА"|                                 г.Минск,ул.Гусовского,20"А"|            3012008650017 в Советском отд. АК БелПСБ г.Минск|
|       406|        г.Минск Бел.центр моды|                                      г.Минск, ул.Машерова,1|            301 220 001 0014 в Московском отд. БББ г. Минска|
|       407|          г.Минск фирма"БелСТ"|                               220600 г.Минск,ул.К.Цеткин-16|          301 210 014 0005 в Минском отд.Белвнешэконом Банка|
|       408|      г.Минск З-д "ТРАНЗИСТОР"|                                              220600,г.Минск|                        3012750110015 в Упр АК БПСБ г.Минска|
|       409|  г.Дзержинск ТЕКСТИЛЬНАЯ Ф-КА|                          г.Дзержинск,ул.Коммунистическая,15|       301 220 314 0017 в отд.АК ел.АПБ г.Дзержинска код 918|
|       410|   г.Минск ПКП"ПРОМАГРОСЕРВИС"|                                       г.Минск, ул.Козлова,9|                              644473 в ГУАК Бел.ПСБ г.Минска|
|       411|     Борисов ШТП"Борисовчанка"|                          222120 г.Борисов пр-т Революции 16|                          3012203960019 в отд.БББ г.Борисова|
|       412|          г.Минск ООО " Ускол"|                                г. Минск, ул. Бородинская 17|                   3468736 в Октябрьском отд. БПСБ г. Минска|
|       413|г.Минск Производсв. худ. к-нат|                     220600,г.Минск,.Старовиленский тракт,88|             301 220 010 0012 в Московском отд. БББ г.Минска|
|       414|г.ЖодинООО пр.ком.фирма"Белах"|                        222160 г.Жодино,ул.40лет Октября,24.|                                   467985 в АК ПСБ г.Жодино.|
|       415|     г.Минск, АП ПКФ"Алекор". |                             220034 г.Минск, ул.Захарова,42.|         301 220 101 0018 в Славянском отд.  Белбизнесбанка.|
|       416|          г.Минск МПТК "Верас"|                                 220074 г.Минск,ул.Левкова,9|                   3012200570011 в Ленинском отд.БББ код 763|
|       417|         г.Жодино АО"СВИТАНОК"|                                      г.Жодино, ул.8 Марта,1|                             3012001360014 в АК ПСБ г.Жодино|
|       418|  г.Минск АО "Белремонтмонтаж"|                                       г.Минск, ул. Минина 3|                30122720930013 в БПСБ по Минской обл.код.331|
|       419|           Минск ООО"Мадексим"|                     г.Минск ул.Жилуновича,15 ООО"Мадексим" |                      3012200870012 в ф-ле ВНТ АО Белкомбанк|
|       420|          г.Клецк Швейная ф-ка|                                   г.Клецк ул.17 Сентября 53|                                3012200510014 в БАПБ г.Клецк|
|       421|    Минск МСУ "Электроналадка"|                               г. Минск ул. Б.Хмельницкого 8|                       301 204 110 0057 в Минсккомплексбанке|
|       422|  г.Борисов Пр-тие "Константа"|                 222120 г.Борисов,Минская обл.ул.Чапаева,58.|             3012205040012 в Борисовском отд.Белбизнесбанка.|
|       423|       Солигорск АП"Купалинка"|              223710 г.Солигорск,Минская обл.ул.К.Заслонова.|                    3012201580650 в ф-ле 0104 АО "Приорбанк"|
|       424|г.Слуцк Ф-ка пош. и рем. одежд|                                     г.Слуцк, ул. Уласовца 3|                            301 220 201 0018 в Агропромбанке|
|       425|         г.Минск ООО "Корникс"|                                  г.Минск ул.Малинина 10/56 |                          301 200 382 0011 в АКБ МТБ код 144|
|       426|          г.Минск ПТТФ "Алеся"|                             г. Минск ул. Старовилейская 131|                   3012100210007 в Минском отд. БВЭБ код.209|
|       427|         г.Минск ООО "ГРАНДАС"|                                     г.Минск ул.П.Глебки 118|                    3012004400011 в Фрунзенском отд. АК БПСБ|
|       428|         г.Жодино МП "Вясёлка"|                                 222120 Минская обл,г.Жодино|                             3012003610010 в АК ПСБ г.Жодино|
|       429|   г.Молодечно Ф-ма"БЕЛСТАР-М"|                                 г.Молодечно,ул.Строителей-1|                      3012000800018 в АКБел ПСБ  г.Молодечно|
|       430|       г.Борисов МПП "ПАНАЦЕЯ"|                222120г.Борисов, Минская об.ул Стекольная,8.|                            3012001760015 в АКПСБ гБорисова.|
|       431|       г.Минск ООО " Галантея"|                                  г. Минск,ул. Кл. Цеткин 18|         301 220 061 0010  в Московском отд. БелбизнесБанка |
|       432|          г.Слуцк УПП "БЕЛТИЗ"|                             г Слуцк, Загородный переулок 7 |                 301 200 560 0018 в Промстройбанке г. Слуцка|
|       433|           г.Минск ММП  "КВИП"|                                г. Минск ул. Багдановича 153|       301 221 115 0011 в филиале АКБ "Приорбанк"  г. Минска|
|       434|        г.Минск АППТФ "Белтри"|                                      г.Минск ул.Луговая 16а|              3012200070010   в  ф-ле Гарантбанк АКБ "Поиск"|
|       435|          Солигорск ГТК"Надея"|                           223710 г Солигорск,ул.Козлова,74.|                       3012200270011 в Бел.АПБ г.Солигорска.|
|       436|  Минск ООО"Белспецизделия"   |                                    г. Минск, ул.З.Бидули,10|        301 212 210 6794 в АКБ г.Минска Комплексбанк код 734|
|       437|   г.Слуцк геологоразв.экспед.|                                       г.Слуцк ул.Ленина 293|                              3012200060015 вАК АПБ г.Слуцка|
|       438|      г.Минск АО МФХИ "Мастра"|                                        г.Минск ул.Кульман 3|                   3012200000020 в ф-ле 33 ПСБ "Беларусбанк"|
|       439| г.Минск КП"Центрэнергомонтаж"|                             г.Минск 1-ый Велосипедный пер.7|                                                            |
|       440|         г.Минск БелНИВЦмгпром|                                        г.Минск,ул.Короля,45|                 3012100440003 в Минском отд.Внешэкономбанка|
|       441| г.Минск Концерн нар.худ.пром.|                               220600,г.Минск,ул.Захарова,36|                    3012000000485 в АСБ "Беларусбанк"г.Минск|
|       442|              г.Солигорск ГКБО|                           223710 г.Солигорск ул.Ленина,51. |                           3012201180012 в АПБ г.Солигорска.|
|       443|             г.Минск ООО"ЛЭЛИ"|                                     г.Минск,ул.Сурганова,9.|                           3012001870104 в МРУ"Бресткомбанк"|
|       444|          г.Минск СП "Белфарм"|                                220600г.Минск,ул.Машерова,23|                         301 220 040 0017 в АК БББ г.Минска.|
|       445|          г.Минск ООО  "АПОЛИ"|                                     г. Минск, ул. Козинца 2|                 301 272 105 0039 в Октябрьском отд. АК БПСБ|
|       446|          г.Марьина Горка РКБО|                             г.Марьина Горка ул.Ленинская 63|                           3012200760017 в БАК АПБ г.М.Горка|
|       447|               г.Минск з-д ЖБК|                      г.Минск м-н Шабаны пер. Промышленный 6|                             301 220 433 0010 в Минском БНПБ|
|       448|г.МинскПроизв.комерч. фирма КС|                                 г. МИНСК ул. Могилевская 43|            301 220 101 0010 в Московском отд. БББ г. МИНСКА|
|       449|         г.Минск ЗАО "СТИНЭКС"|                               220006,г.Минск,ул.Полевая,24А|                 3012003757002 в Белвнешэкономбанке г.Минска|
|       450|           г.Минск ООО "ЗАДОР"|                         220009, г.Минск, ул.О.Кошевого,9/23|                      3012005260010 в Заводском отд. АК БПСБ|
|       451|               г.Дзержинск КБО|                                  г.Дзержинск ул.Советская 5|                                    3012200600013 АК Бел АПБ|
|       452|          г.Борисов ПО "ЭКРАН"|      222120, Минская обл.,г.Борисов, ул.Нормандия-Нёман,167|                            3012000290010 в АКБПСБ г.Борисов|
|       453|г.Минс"Белорусский Дом печати"|                                    г. Минск, пр. Скорины 79|          301 220 099 0012 в Славянском отд. Белбизнесбанке |
|       454|              г.Минск,МП"ДИОН"|                               г.Минск,ул.Красноармейская,3.|               3012204500014 в Фрунзенском отд.БББ г.Минска.|
|       455|     Минск электромеханический|                                г. Минск ул. Волгоградская 6|                   301 200 091 0011 в УАК БЕЛ. ПСБ г. Минска|
|       456|       Минск конц "БЕЛЛЕГПРОМ"|                               220050,г.Минск,пл.К.Цеткин,16|                                                            |
|       457|    г.Минск АО "Белспецэнерго"|                          220033,г.Минск,ул.Индустриальная,2|                301 220 039 0015 в Минском отд. БББ г.Минска|
|       458|        г.Минск ХЛЕБОЗАВОД N 6|                                    г. Минск ул. Гурского 19|                        301 220 011 0011 в Бел АПБ г. Минска|
|       459|         г.Минск ПКП "Аквитан"|                                 г.Минск ул.К.Либкнехта 86/2|                                3012004840015 в ГУАК Бел ПСБ|
|       460| г.Старые Дороги Швейная ф-ка.|                       222910 г.Старые Дороги,ул.Калинина 2.|                     301 220 052 0018 в АПБ г.Старые Дороги.|
|       461|        г.Минск ООО "Парабола"|                                        г.Минск,ул.Гаравца-2|               301 220 554 0017 в Столичном отд.БББ  код 112|
|       462|       г.Борисов ОАО "Боримак"|                                    г.Борисов,ул.Заводская,4|                   301 220 129 0018 в АПБ г.Борисова код 902|
|       463|       Минск ЗАО"Технопродукт"|                                    г.Минск ул.Ангарская-20.|             301 221 964 0016 в Головном ф-ле АО Приорбанка.|
|       464|       Борисов, К-т прикл.иск.|                                     г.Борисов ул.Блюхера-19|                     301 220 470 0018 в АКБ Поискг.Борисова.|
|       465|       г.Минск ОАО "Беллесбум"|                                    г.Минск,ул Полтавская 10|                  212 020 029 0023 в ГД БББ г.Минска,код 764|
|       466|        г.Минск ООО "СПЕКТРАН"|                               г.Минск, ул. Волгоградская 74|                301 220 203 0005 в АКБ "Приорбанк" г. Минска|
|       467|      г.Минск ВАГОННЫЙ УЧАСТОК|                               г. Минск .ул. Вокзальная 13 а|                 301 260 012 0017 в Белжелдорбанке г. Минска|
|       468|    г.Минск з-д сантехизделий.|                      220089 г.Минск ул.Железнодорожная-116.|                      301 200 165 0012 Окт.отд.ПСБ г.Минска.|
|       469|г.МинсЗАО"БЕЛТЕХНОСТИЛЬИНВЕСТ"|                              г. Минск, ул. Р.ЛЮКСИМБУРГ 101|                          301 221 796 0017  ГБ " ПРИОРБАНКА"|
|       470| г.Столбцы ЗАО Агромашзапчасти|                                 г.Столбцы ул.Задваренская 1|                               3012200900132 в АПБ г.Столбцы|
|       471|      г.Молодечно ПТК "АСАМИТ"|                             г. Молодечно ул. Космонавтов 13|                         301 220 056 0014 в БББ г.Молодечно |
|       472|    г.Минск КБО Мин.обороны.  |                                    г.Минск ул.Калинина-30/1|                           3012000990015 в УНИ БПСБ г.Минска|
